"no","name","side","runTime","Coin_received","Wechat_received","Manual_payment","Detergent","Softener","LB","status","date","startTime","endTime","machine"
46,"SP-V1","NA",0,6,0,0,5,6,5,"SUCCESS","12/03/2019","12/03/2019 00:50:15","NA","e15ceae8fa62a160cebe0a1644e6116c"
68,"SP-W1","NA","0:0:1",9,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:54:26","12/03/2019 00:54:27","467b712f6f3dd1baad34f7b11b75f7d1"
69,"SP-W1","NA","0:0:4",9,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:58:59","12/03/2019 00:59:03","467b712f6f3dd1baad34f7b11b75f7d1"
48,"SP-V1","NA",0,12,0,0,10,10,10,"SUCCESS","12/03/2019","12/03/2019 00:56:32","NA","e15ceae8fa62a160cebe0a1644e6116c"
86,"SP-D17-18","upper","0:0:20",6,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 01:00:47","12/03/2019 01:01:07","ae7d7950ed68a29b627719c0723f0ca0"
87,"SP-D17-18","lower","0:0:19",2,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 01:00:48","12/03/2019 01:01:07","ae7d7950ed68a29b627719c0723f0ca0"
50,"SP-V1","NA",0,13,0,0,6,10,10,"SUCCESS","12/03/2019","12/03/2019 01:05:11","NA","e15ceae8fa62a160cebe0a1644e6116c"
88,"SP-D17-18","upper","0:0:18",6,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 01:08:42","12/03/2019 01:09:00","ae7d7950ed68a29b627719c0723f0ca0"
89,"SP-D17-18","lower","0:0:18",2,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 01:08:42","12/03/2019 01:09:00","ae7d7950ed68a29b627719c0723f0ca0"
70,"SP-W1","NA","0:0:2",9,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 01:10:41","12/03/2019 01:10:43","467b712f6f3dd1baad34f7b11b75f7d1"
90,"SP-D17-18","upper","0:0:18",6,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 09:05:57","12/03/2019 09:06:15","ae7d7950ed68a29b627719c0723f0ca0"
91,"SP-D17-18","lower","0:0:18",2,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 09:05:57","12/03/2019 09:06:15","ae7d7950ed68a29b627719c0723f0ca0"
71,"SP-W1","NA","0:0:2",9,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 09:08:41","12/03/2019 09:08:43","467b712f6f3dd1baad34f7b11b75f7d1"
72,"SP-W1","NA","0:0:1",9,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 09:12:45","12/03/2019 09:12:46","467b712f6f3dd1baad34f7b11b75f7d1"
56,"SP-V1","NA",0,33,0,0,22,25,22,"SUCCESS","12/03/2019","12/03/2019 09:10:01","NA","e15ceae8fa62a160cebe0a1644e6116c"
