"no","name","side","runTime","Coin_received","Wechat_received","Manual_payment","Detergent","Softener","LB","status","date","startTime","endTime","machine"
6,"PJCC-W3","NA","0:24:15",5,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 21:17:22","02/01/2019 21:41:37","7ce10970545f2bd2bb77388f95c4fa65"
3,"PJCC-W22","NA","0:25:48",6,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 21:30:04","02/01/2019 21:55:52","301b33a5742e1a5fc36a572f0126c245"
2,"PJCC-W24","NA","0:25:46",8,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 21:30:52","02/01/2019 21:56:38","85520fd664e3dbcb2bef677543dcaf23"
4,"PJCC-W4","NA","0:24:16",5,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 21:37:58","02/01/2019 22:02:14","583f39fc2ca046563574510e34b345ef"
2,"PJCC-D19","NA","0:12:40",5,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 21:58:21","02/01/2019 22:11:01","c5cfc517543121b12cec4848bbdb2b43"
8,"PJCC-D23","NA","0:24:46",5,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 21:57:22","02/01/2019 22:22:08","e1c98e44e2af2b1d3cc1c36c45e08000"
3,"PJCC-D19","NA","0:11:18",0,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 22:11:49","02/01/2019 22:23:07","c5cfc517543121b12cec4848bbdb2b43"
2,"PJCC-D17","NA","0:29:46",6,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 21:54:11","02/01/2019 22:23:57","40c2a7e3bcdcb1c73c03d845cebe497a"
3,"PJCC-W24","NA","0:25:49",6,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 22:02:17","02/01/2019 22:28:06","85520fd664e3dbcb2bef677543dcaf23"
1,"PJCC-D19","NA","0:44:47",9,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 23:07:56","02/01/2019 23:52:43","c5cfc517543121b12cec4848bbdb2b43"
1,"PJCC-D23","NA","0:44:48",9,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 23:07:58","02/01/2019 23:52:46","e1c98e44e2af2b1d3cc1c36c45e08000"
1,"PJCC-D29-30","upper","0:35:46",12,0,0,0,0,0,"SUCCESS","03/01/2019","03/01/2019 00:33:49","03/01/2019 01:09:35","271d6088283749c5d65c5428c0c967a9"
2,"PJCC-D23","NA","0:29:47",6,0,0,0,0,0,"SUCCESS","03/01/2019","03/01/2019 10:50:26","03/01/2019 11:20:13","e1c98e44e2af2b1d3cc1c36c45e08000"
2,"PJCC-D19","NA","0:24:46",5,0,0,0,0,0,"SUCCESS","03/01/2019","03/01/2019 11:05:05","03/01/2019 11:29:51","c5cfc517543121b12cec4848bbdb2b43"
1,"PJCC-W4","NA","0:24:17",5,0,0,0,0,0,"SUCCESS","03/01/2019","03/01/2019 15:13:14","03/01/2019 15:37:31","583f39fc2ca046563574510e34b345ef"
1,"PJCC-W3","NA","0:2:48",0,0,4,0,0,0,"SUCCESS","03/01/2019","03/01/2019 16:11:47","03/01/2019 16:14:35","7ce10970545f2bd2bb77388f95c4fa65"
1,"PJCC-W25","NA","0:39:2",10,0,0,0,0,0,"SUCCESS","03/01/2019","03/01/2019 16:07:30","03/01/2019 16:46:32","e92b1ad5c195c747a7d2a0845204d8f7"
2,"PJCC-D29-30","upper","0:23:45",8,0,0,0,0,0,"SUCCESS","03/01/2019","03/01/2019 18:04:15","03/01/2019 18:28:00","271d6088283749c5d65c5428c0c967a9"
2,"PJCC-W25","NA","0:25:37",14,0,0,0,0,0,"SUCCESS","03/01/2019","03/01/2019 18:48:57","03/01/2019 19:14:34","e92b1ad5c195c747a7d2a0845204d8f7"
3,"PJCC-D23","NA","0:44:46",9,0,0,0,0,0,"SUCCESS","03/01/2019","03/01/2019 19:18:05","03/01/2019 20:02:51","e1c98e44e2af2b1d3cc1c36c45e08000"
3,"PJCC-W25","NA","0:25:37",10,0,0,0,0,0,"SUCCESS","03/01/2019","03/01/2019 19:55:13","03/01/2019 20:20:50","e92b1ad5c195c747a7d2a0845204d8f7"
4,"PJCC-D23","NA","0:24:46",5,0,0,0,0,0,"SUCCESS","03/01/2019","03/01/2019 20:24:39","03/01/2019 20:49:25","e1c98e44e2af2b1d3cc1c36c45e08000"
3,"PJCC-D19","NA","0:29:46",6,0,0,0,0,0,"SUCCESS","03/01/2019","03/01/2019 20:23:50","03/01/2019 20:53:36","c5cfc517543121b12cec4848bbdb2b43"
4,"PJCC-D19","NA","0:24:45",5,0,0,0,0,0,"SUCCESS","03/01/2019","03/01/2019 21:00:02","03/01/2019 21:24:47","c5cfc517543121b12cec4848bbdb2b43"
2,"PJCC-W4","NA","0:24:15",5,0,4,0,0,0,"SUCCESS","03/01/2019","03/01/2019 21:23:08","03/01/2019 21:47:23","583f39fc2ca046563574510e34b345ef"
4,"PJCC-W25","NA","0:25:36",10,0,0,0,0,0,"SUCCESS","03/01/2019","03/01/2019 21:48:50","03/01/2019 22:14:26","e92b1ad5c195c747a7d2a0845204d8f7"
1,"PJCC-W26","NA","0:25:35",10,0,0,0,0,0,"SUCCESS","03/01/2019","03/01/2019 21:48:55","03/01/2019 22:14:30","e531eb81634fd5bd542643139fab6d34"
